"Reference","Value","Datasheet","MFP","Footprint","Qty","DNP","Description"
"C1,C2,C3,C4,C5,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29","-- mixed values --","~","","Capacitor_SMD:C_0805_2012Metric","26","","-- mixed values --"
"C6,C7","100nF","","CA0612KRX7R7BB104","CAP_CA0612_3P2X1P6_YAG","2","",""
"C10","100uF","~","EEE1AA101WR","CAP_EEE1AA101WR","1","","Polarized capacitor, US symbol"
"C30,C31","1uF","~","TAJA105K016RNJ","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2","","Polarized capacitor, US symbol"
"D1,D2,D3,D4,D5,D6,D7,D8,D9","-- mixed values --","~","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","9","","Light emitting diode"
"F1","C1F 2","","C1F 2 (CA0612KRX7R7BB104)","C1_BEL","1","",""
"F2","MFU0805FF01000P500","","MFU0805FF01000P500","FUS_VISHAY_MFU0805_VIS","1","",""
"FB1","FerriteBead","~","fcm1608-0603","Inductor_SMD:L_0603_1608Metric","1","","Ferrite bead"
"J1,J2","B6B-PH-K-S","","B6B-PH-K-S","GT_library:JST_B6B-PH-K-S","2","",""
"J3","JST_B2B-XH-A","","S2B-PH-K-SLFSN","JST_B2B-XH-A","1","",""
"J4,J5","Conn_01x05_Pin","~","Genereic 5 pin 2.56mm","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","2","","Generic connector, single row, 01x05, script generated"
"J6","OLED Conn_02x04","~","Genereic 2x4 2.56 mm","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J7","B4B-XH-A","","B4B-XH-A","Parts_Library:JST_B4B-XH-A","1","",""
"J8","Conn_ARM_JTAG_SWD_10","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf","Genereic 2x5 2.56 mm","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1","","Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface"
"J9","Conn_01x03","~","Genereic 3 pin 2.56mm","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J10","1051640001","1051640001","1051640001","CON00906_5_MOL","1","",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23","-- mixed values --","~","-- mixed values --","Resistor_SMD:R_0805_2012Metric","23","","-- mixed values --"
"RN1,RN2","-- mixed values --","~","-- mixed values --","Parts_Library:RESCAXE50P280X160X55-16N","2","","8 resistor network, parallel topology, split"
"RN3","680","~","EXB-38V681JV","Parts_Library:RESCAXS80P320X160X60-8N","1","","4 resistor network, parallel topology, split"
"RN4","22","~","EXB-38V220JV","Parts_Library:RESCAXE80P320X160X70-8N","1","","4 resistor network, parallel topology, split"
"RV1","10k","~","TRIM_TC33X-2-103E","Parts_Library:TRIM_TC33X-2-103E","1","","Potentiometer, US symbol"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","-- mixed values --","-- mixed values --","JST_B2B-PH-K-S","JST_B2B-PH-K-S","7","","-- mixed values --"
"SW8","SW_Push","~","TS04-66-65-BK-160-SMT","SW_TS04-66-65-BK-160-SMT","1","","Push button switch, generic, two pins"
"SW9","SW_SPDT","~","PCM12SMTR","Button_Switch_SMD:SW_SPDT_PCM12","1","","Switch, single pole double throw"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13","-- mixed values --","~","N/A","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","13","","test point"
"U1","BQ25185DLHR","BQ25185DLHR","BQ25185DLHR","WSON10_DLH_TEX","1","",""
"U2","BQ27441-G1","http://www.ti.com/lit/ds/symlink/bq27441-g1.pdf","BQ27441-G1","Package_SON:Texas_S-PDSO-N12","1","","System Side Li Ion/Polymer Fuel Gauge, PDSON-12"
"U3,U4","SMS05T1G","SMS05T1G","SMS05T1G","SOIC_05T1G_ONS","2","",""
"U5","DRV8834PWP","","DRV8834PWP","SOP65P640X120-25N","1","","11-V, 1.5-A,  dual H-bridge or stepper motor driver with 1/32 microstep indexer"
"U6","STM32F405RGTx","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf","STM32F405RGT6","Package_QFP:LQFP-64_10x10mm_P0.5mm","1","","STMicroelectronics Arm Cortex-M4 MCU, 1024KB flash, 192KB RAM, 168 MHz, 1.8-3.6V, 51 GPIO, LQFP64"
"U7","ESD9B5.0ST5G","","ESD9B5.0ST5G","Parts_Library:SODFL1006X40N","1","","ESD9B Series 7.8 V 15 pF Surface Mount TVS Diode - SOD-923"
"XTAL1","MC-306 32.7680K-E3:ROHS","MC-306 32.7680K-E3:ROHS","MC-306 32.7680K-E3:ROHS","Parts_Library:SO4_MC-306_SEC","1","",""
"Y1","Crystal","~","449-LFXTAL036869REEL","","1","","Two pin crystal"
